recolhas,zmax,fracao_no_teto,dentro,agentes_dentro,travessias,travessias_teto,agentes_atravessam,agentes_presos,campanha,algo,cenario,run,modelo,sha1,seed,erro
129,0.81,0.0,0,0,0,0,0,0,final_7d,GNN,bottleneck,5.0,results/models/gnn_3d_best_bottleneck_run5.pth,de1d90faa6c7,2026,
65,10.19,0.0,0,0,0,0,0,0,final_7d,PPO,none,,results/models_ppo/ppo_3d_final.zip,917462ca6de5,2024,
68,11.51,0.0,0,0,0,0,0,0,final_7d,PPO,none,,results/models_ppo/ppo_3d_final.zip,917462ca6de5,2025,
75,11.08,0.0,0,0,0,0,0,0,final_7d,PPO,none,,results/models_ppo/ppo_3d_final.zip,917462ca6de5,2026,
67,3.0,0.0,0,0,0,0,0,0,final_7d,PPO,u_wall,,results/models_ppo/ppo_3d_final_u_wall.zip,1cc661a3e334,2024,
69,3.68,0.0,0,0,0,0,0,0,final_7d,PPO,u_wall,,results/models_ppo/ppo_3d_final_u_wall.zip,1cc661a3e334,2025,
68,2.57,0.0,0,0,0,0,0,0,final_7d,PPO,u_wall,,results/models_ppo/ppo_3d_final_u_wall.zip,1cc661a3e334,2026,
69,10.01,0.0,0,0,0,0,0,0,final_7d,SAC,none,,results/models_sac/sac_3d_final.zip,b9d441100707,2024,
69,11.51,0.0,0,0,0,0,0,0,final_7d,SAC,none,,results/models_sac/sac_3d_final.zip,b9d441100707,2025,
69,11.08,0.0,0,0,0,0,0,0,final_7d,SAC,none,,results/models_sac/sac_3d_final.zip,b9d441100707,2026,
60,1.53,0.0,0,0,0,0,0,0,final_7d,SAC,u_wall,,results/models_sac/sac_3d_final_u_wall.zip,c47beb69a4c6,2024,
51,2.0,0.0,1,1,0,0,0,1,final_7d,SAC,u_wall,,results/models_sac/sac_3d_final_u_wall.zip,c47beb69a4c6,2025,
53,3.02,0.0,1,1,0,0,0,1,final_7d,SAC,u_wall,,results/models_sac/sac_3d_final_u_wall.zip,c47beb69a4c6,2026,
